facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(2V09) (621BU) Mountain Home, TN
- VADOM",79,79,100.00%,0,0.00%,78,1,0,0,0,0,0,1.04,,,,
"(2V09) (621BY) Knoxville, TN (William C. Tallent)","5,742","5,619",97.86%,123,2.14%,"5,167",246,206,82,28,8,5,2.54,5.49,2.88,,
"(2V09) (621GA) Rogersville, TN",433,429,99.08%,4,0.92%,388,31,10,4,0,0,0,2.82,0.00,0.00,,
"(2V09) (621GC) Norton, VA",551,549,99.64%,2,0.36%,520,21,8,1,0,0,1,2.12,0.00,0.44,,
"(2V09) (621GG) Morristown, TN",771,754,97.80%,17,2.20%,707,17,30,11,0,3,3,9.77,0.00,0.64,,
"(2V09) (621GI) Sevierville, TN (Dannie A. Carr)","1,482","1,427",96.29%,55,3.71%,"1,226",102,99,50,4,0,1,7.35,5.58,0.11,,
"(2V09) (621GJ) Bristol, VA","1,051","1,039",98.86%,12,1.14%,955,42,42,10,1,0,1,2.27,0.00,2.56,,
"(2V09) (621GK) Campbell County, TN",438,435,99.32%,3,0.68%,390,22,23,3,0,0,0,2.96,4.91,3.69,,
"(2V09) (621GO) Mountain City, TN",310,307,99.03%,3,0.97%,293,9,5,3,0,0,0,1.52,0.00,1.24,,
"(2V09) (621QA) Jonesville, VA",76,76,100.00%,0,0.00%,76,0,0,0,0,0,0,0.50,,,,
"(2V09) (621QB) Marion, VA",122,121,99.18%,1,0.82%,117,4,0,1,0,0,0,1.22,,,,
"(2V09) (621QC) Vansant, VA",48,48,100.00%,0,0.00%,39,9,0,0,0,0,0,1.74,,,,
"(2V09) (621QD) Knox County, TN",570,565,99.12%,5,0.88%,542,15,8,5,0,0,0,,1.50,1.69,,
"(2V09) (621QE) Downtown West, TN",328,327,99.70%,1,0.30%,311,13,3,0,1,0,0,,1.49,,,
(2V09) (626) Middle Tennessee HCS,"68,030","64,425",94.70%,"3,605",5.30%,"58,943","2,654","2,828","1,753",862,338,652,7.03,7.29,2.95,,
"(2V09) (626) Nashville, TN","24,674","23,148",93.82%,"1,526",6.18%,"21,065",926,"1,157",777,443,168,138,9.73,6.78,2.80,,
"(2V09) (626A4) Murfreesboro, TN (Alvin C. York)",11,11,100.00%,0,0.00%,11,0,0,0,0,0,0,9.73,6.78,2.80,,
"(2V09) (626A4) Murfreesboro, TN (Alvin C. York)","19,191","18,325",95.49%,866,4.51%,"16,819",766,740,447,215,48,156,3.52,7.73,1.69,,
"(2V09) (626GA) Dover, TN",364,337,92.58%,27,7.42%,296,15,26,12,3,3,9,10.15,,9.07,,
"(2V09) (626GC) Bowling Green, KY",997,921,92.38%,76,7.62%,801,57,63,38,13,10,15,10.77,8.29,12.64,,
"(2V09) (626GE) Clarksville, TN","5,738","5,408",94.25%,330,5.75%,"4,922",247,239,179,62,29,60,7.92,3.82,4.43,,
"(2V09) (626GF) Chattanooga, TN","4,043","3,934",97.30%,109,2.70%,"3,667",123,144,55,20,13,21,2.39,4.97,1.77,,
"(2V09) (626GG) Tullahoma, TN",243,235,96.71%,8,3.29%,222,10,3,5,0,0,3,1.79,2.50,9.42,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(2V09) (626GH) Cookeville, TN","1,213","1,171",96.54%,42,3.46%,"1,088",42,41,21,6,2,13,5.12,5.09,7.96,,
"(2V09) (626GJ) Hopkinsville, KY","1,406","1,155",82.15%,251,17.85%,977,86,92,63,22,30,136,51.24,13.50,7.25,,
"(2V09) (626GK) McMinnville, TN",748,743,99.33%,5,0.67%,653,68,22,3,0,0,2,4.13,5.11,4.38,,
"(2V09) (626GL) Roane County, TN",684,664,97.08%,20,2.92%,605,29,30,11,2,4,3,5.54,,5.27,,
"(2V09) (626GM) Maury County, TN",657,625,95.13%,32,4.87%,529,54,42,10,6,2,14,4.56,31.83,4.75,,
"(2V09) (626GN) Athens, TN",493,463,93.91%,30,6.09%,426,19,18,21,4,0,5,6.80,4.00,9.64,,
"(2V09) (626GO) International Plaza, TN","1,999","1,934",96.75%,65,3.25%,"1,841",56,37,24,16,12,13,5.72,1.65,1.68,,
"(2V09) (626GP) Gallatin, TN",541,515,95.19%,26,4.81%,470,15,30,13,3,5,5,3.33,10.83,0.00,,
(2V09) (626MA) IDES Fort Campbell,12,12,100.00%,0,0.00%,12,0,0,0,0,0,0,,,,,
"(2V09) (626QA) Albion Street, TN",696,686,98.56%,10,1.44%,620,30,36,6,1,0,3,1.58,,0.24,,
"(2V09) (626QB) Charlotte Avenue, TN","2,221","2,189",98.56%,32,1.44%,"2,048",79,62,18,7,0,7,3.97,8.63,0.49,,
"(2V09) (626QC) Pointe Centre, TN","1,144","1,063",92.92%,81,7.08%,"1,009",15,39,31,35,8,7,,16.09,1.80,,
"(2V09) (626QD) Glenis Drive, TN",637,623,97.80%,14,2.20%,622,0,1,10,1,3,0,,,3.88,,
"(2V09) (626QE) Glenis Drive 2, TN",28,28,100.00%,0,0.00%,28,0,0,0,0,0,0,,,,,
"(2V09) (626QF) Dalton Drive, TN",290,235,81.03%,55,18.97%,212,17,6,9,3,1,42,,41.55,,,
"(3V10) (538) Chillicothe, OH HCS","16,791","15,955",95.02%,836,4.98%,"14,512",714,729,474,159,76,127,1.75,14.68,3.98,,
"(3V10) (538) Chillicothe, OH","10,633","10,008",94.12%,625,5.88%,"8,911",543,554,360,121,61,83,1.89,13.92,3.34,,
"(3V10) (538GA) Athens, OH","1,320","1,286",97.42%,34,2.58%,"1,225",28,33,12,11,2,9,1.55,17.13,3.69,,
"(3V10) (538GB) Portsmouth, OH","1,093","1,083",99.09%,10,0.91%,"1,044",18,21,8,1,0,1,0.66,27.50,0.66,,
"(3V10) (538GC) Marietta, OH",834,769,92.21%,65,7.79%,704,27,38,43,7,8,7,1.48,21.78,4.60,,
"(3V10) (538GD) Lancaster, OH","1,567","1,505",96.04%,62,3.96%,"1,402",49,54,29,14,4,15,1.52,16.70,8.90,,
"(3V10) (538GE) Cambridge, OH",825,792,96.00%,33,4.00%,745,29,18,18,3,1,11,4.08,12.99,2.93,,
"(3V10) (538GF) Wilmington, OH",519,512,98.65%,7,1.35%,481,20,11,4,2,0,1,1.02,0.00,6.03,,
"(3V10) (539) Cincinnati, OH HCS","35,360","33,193",93.87%,"2,167",6.13%,"30,030","1,513","1,650","1,068",471,227,401,1.90,16.01,1.74,,
"(3V10) (539) Cincinnati, OH","25,378","23,852",93.99%,"1,526",6.01%,"21,505","1,089","1,258",819,340,159,208,0.97,14.63,0.47,,
"(3V10) (539A4) Fort Thomas, KY","1,257","1,180",93.87%,77,6.13%,"1,106",39,35,39,26,10,2,,18.92,3.91,,
"(3V10) (539BV) Fort Thomas, KY - PRRTP",13,12,92.31%,1,7.69%,9,2,1,1,0,0,0,,,,,
"(3V10) (539GA) Bellevue, KY",805,752,93.42%,53,6.58%,688,43,21,20,4,2,27,19.74,,2.08,,
"(3V10) (539GB) Clermont County, OH","1,933","1,881",97.31%,52,2.69%,"1,755",78,48,29,9,4,10,3.29,10.98,0.80,,
"(3V10) (539GC) Dearborn, IN",864,840,97.22%,24,2.78%,759,33,48,12,6,3,3,1.15,10.61,2.16,,
"(3V10) (539GD) Florence, KY","1,602","1,497",93.45%,105,6.55%,"1,372",54,71,47,21,12,25,4.35,17.18,2.31,,
"(3V10) (539GE) Hamilton, OH","1,112","1,027",92.36%,85,7.64%,918,59,50,23,10,17,35,7.03,32.39,1.63,,
"(3V10) (539GF) Georgetown, OH",411,382,92.94%,29,7.06%,346,23,13,10,6,2,11,9.33,26.71,0.97,,
"(3V10) (539QB) Highland Avenue, OH","1,350","1,164",86.22%,186,13.78%,"1,048",54,62,46,44,16,80,,19.75,,,
"(3V10) (539QC) Vine Street, OH",50,50,100.00%,0,0.00%,50,0,0,0,0,0,0,0.42,,,,
"(3V10) (539QD) Norwood, OH",585,556,95.04%,29,4.96%,474,39,43,22,5,2,0,,11.42,5.48,,
"(3V10) (541) Cleveland, OH HCS","94,607","90,100",95.24%,"4,507",4.76%,"79,986","4,986","5,128","2,513",989,433,572,5.31,10.76,2.60,,
"(3V10) (541) Cleveland, OH (Louis Stokes Cleveland)","39,102","37,031",94.70%,"2,071",5.30%,"32,566","2,033","2,432","1,255",419,195,202,8.62,9.49,0.55,,
"(3V10) (541BY) Canton, OH","5,009","4,743",94.69%,266,5.31%,"4,050",336,357,164,59,20,23,5.02,10.82,3.31,,
"(3V10) (541BZ) Youngstown, OH","6,118","5,833",95.34%,285,4.66%,"5,357",242,234,142,105,28,10,6.66,7.93,1.86,,
"(3V10) (541GB) Lorain, OH","3,159","3,016",95.47%,143,4.53%,"2,666",202,148,65,16,45,17,5.21,10.61,3.53,,
"(3V10) (541GC) Sandusky, OH","1,983","1,878",94.70%,105,5.30%,"1,677",90,111,55,10,5,35,6.84,28.11,8.56,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(3V10) (541GD) Mansfield, OH (David F. Winder)","4,415","4,372",99.03%,43,0.97%,"4,105",155,112,27,9,4,3,1.22,4.89,1.77,,
"(3V10) (541GF) Lake County, OH","3,611","3,467",96.01%,144,3.99%,"3,096",190,181,76,34,14,20,5.20,9.58,2.91,,
"(3V10) (541GG) Akron, OH","13,239","12,827",96.89%,412,3.11%,"11,637",677,513,195,101,42,74,4.62,8.86,1.88,,
"(3V10) (541GH) East Liverpool, OH","1,197","1,163",97.16%,34,2.84%,"1,076",57,30,19,7,4,4,2.91,6.71,4.50,,
"(3V10) (541GI) Warren, OH","1,518","1,451",95.59%,67,4.41%,"1,242",103,106,36,11,7,13,4.19,18.61,10.82,,
"(3V10) (541GJ) New Philadelphia, OH","1,377","1,301",94.48%,76,5.52%,"1,141",91,69,38,26,6,6,8.55,8.01,2.81,,
"(3V10) (541GK) Ravenna, OH","1,542","1,489",96.56%,53,3.44%,"1,335",71,83,35,8,2,8,2.95,8.86,3.17,,
"(3V10) (541GL) Parma, OH","10,984","10,213",92.98%,771,7.02%,"8,808",720,685,380,177,59,155,4.47,17.66,4.10,,
"(3V10) (541GM) Cleveland Superior Avenue, OH",51,49,96.08%,2,3.92%,38,3,8,2,0,0,0,,,,,
"(3V10) (541QB) Cleveland Euclid Avenue, OH",874,868,99.31%,6,0.69%,866,1,1,3,1,1,1,15.52,0.00,0.00,,
"(3V10) (541QE) Cleveland East Boulevard 3, OH - Mobile",234,219,93.59%,15,6.41%,188,11,20,12,2,0,1,,5.97,,,
"(3V10) (541QF) Cuyahoga County 4, OH - Mobile",194,180,92.78%,14,7.22%,138,4,38,9,4,1,0,,9.39,,,
"(3V10) (552) Dayton, OH HCS","29,345","28,498",97.11%,847,2.89%,"25,545","1,468","1,485",545,183,55,64,1.21,6.80,3.18,,
"(3V10) (552) Dayton, OH","24,484","23,797",97.19%,687,2.81%,"21,326","1,183","1,288",432,158,42,55,0.90,6.86,2.68,,
"(3V10) (552GA) Middletown, OH","1,229","1,167",94.96%,62,5.04%,"1,052",69,46,41,14,3,4,3.72,8.43,7.62,,
"(3V10) (552GB) Lima, OH","1,281","1,250",97.58%,31,2.42%,"1,173",42,35,17,5,6,3,1.34,5.22,2.63,,
"(3V10) (552GC) Richmond, IN","1,046","1,012",96.75%,34,3.25%,894,58,60,27,3,2,2,3.47,7.32,4.56,,
"(3V10) (552GD) Springfield, OH","1,186","1,153",97.22%,33,2.78%,997,105,51,28,3,2,0,3.78,5.26,5.20,,
"(3V10) (552GF) Wright-Patterson, OH",119,119,100.00%,0,0.00%,103,11,5,0,0,0,0,1.54,0.00,4.04,,
"(3V10) (757) Columbus, OH HCS","29,567","27,601",93.35%,"1,966",6.65%,"22,656","2,347","2,598","1,251",456,161,98,5.33,10.62,4.76,,
"(3V10) (757) Columbus, OH (Chalmers P. Wylie)","24,791","23,106",93.20%,"1,685",6.80%,"18,776","2,060","2,270","1,064",394,133,94,5.03,10.95,4.60,,
"(3V10) (757GA) Zanesville, OH",752,695,92.42%,57,7.58%,602,40,53,33,13,11,0,9.80,6.74,9.28,,
"(3V10) (757GB) Grove City, OH",847,830,97.99%,17,2.01%,749,45,36,9,2,5,1,5.09,4.66,3.30,,
"(3V10) (757GC) Marion, OH",898,830,92.43%,68,7.57%,696,54,80,49,16,3,0,7.99,9.01,2.71,,
"(3V10) (757GD) Newark, OH (Daniel L. Kinnard)",894,855,95.64%,39,4.36%,761,52,42,21,10,6,2,7.08,6.79,2.22,,
"(3V10) (757QC) Columbus Airport Drive, OH","1,385","1,285",92.78%,100,7.22%,"1,072",96,117,75,21,3,1,,,5.52,,
"(3V10) (506) Ann Arbor, MI HCS","55,468","53,615",96.66%,"1,853",3.34%,"49,897","1,780","1,938",960,413,193,287,0.92,13.24,3.14,,
"(3V10) (506) Ann Arbor, MI","35,758","34,333",96.01%,"1,425",3.99%,"31,581","1,261","1,491",758,292,127,248,1.24,14.31,3.86,,
"(3V10) (506GA) Toledo, OH","10,672","10,385",97.31%,287,2.69%,"9,812",326,247,125,68,59,35,0.44,13.39,1.62,,
"(3V10) (506GB) Flint, MI","3,722","3,704",99.52%,18,0.48%,"3,593",52,59,13,3,0,2,0.77,1.76,1.76,,
"(3V10) (506GC) Jackson, MI","3,498","3,484",99.60%,14,0.40%,"3,325",90,69,14,0,0,0,0.35,5.88,1.30,,
"(3V10) (506QA) Ann Arbor Packard Road, MI (Packard Road)",948,936,98.73%,12,1.27%,927,4,5,7,5,0,0,,0.05,0.41,,
"(3V10) (506QB) Green Road, MI",870,773,88.85%,97,11.15%,659,47,67,43,45,7,2,,15.09,,,
"(3V10) (515) Battle Creek, MI HCS","25,032","23,118",92.35%,"1,914",7.65%,"19,877","1,490","1,751",966,335,157,456,5.67,11.61,6.88,,
"(3V10) (515) Battle Creek, MI","11,107","10,270",92.46%,837,7.54%,"8,855",696,719,420,140,57,220,4.74,12.64,6.98,,
"(3V10) (515BU) Battle Creek, MI - VADOM",47,47,100.00%,0,0.00%,46,0,1,0,0,0,0,,,,,
"(3V10) (515BY) Wyoming, MI","10,051","9,078",90.32%,973,9.68%,"7,631",599,848,477,184,86,226,6.05,12.65,7.25,,
"(3V10) (515GA) Muskegon, MI","1,685","1,649",97.86%,36,2.14%,"1,472",97,80,26,2,2,6,5.08,2.14,4.07,,
"(3V10) (515GB) Lansing, MI","1,439","1,389",96.53%,50,3.47%,"1,239",70,80,34,9,4,3,6.64,1.20,7.02,,
"(3V10) (515GC) Benton Harbor, MI",703,685,97.44%,18,2.56%,634,28,23,9,0,8,1,7.04,1.38,3.44,,
"(3V10) (553) Detroit, MI HCS","25,533","23,964",93.86%,"1,569",6.14%,"21,045","1,350","1,569",901,304,132,232,3.01,11.63,2.26,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(3V10) (553) Detroit, MI (John D. Dingell)","23,034","21,478",93.24%,"1,556",6.76%,"18,664","1,291","1,523",893,304,131,228,3.51,11.85,2.05,,
"(3V10) (553GA) Yale, MI","1,283","1,283",100.00%,0,0.00%,"1,269",12,2,0,0,0,0,0.32,,0.00,,
"(3V10) (553GB) Pontiac, MI","1,147","1,137",99.13%,10,0.87%,"1,050",47,40,8,0,1,1,1.69,3.46,8.84,,
"(3V10) (553QA) Piquette Street, MI",69,66,95.65%,3,4.35%,62,0,4,0,0,0,3,20.22,,,,
"(3V10) (583) Indianapolis, IN HCS","44,173","42,885",97.08%,"1,288",2.92%,"37,869","1,803","3,213",999,174,27,88,2.47,5.32,5.06,,
"(3V10) (583GG) Shelbyville, IN",48,29,60.42%,19,39.58%,26,0,3,19,0,0,0,2.68,5.35,5.00,,
"(3V10) (583) Indianapolis, IN (Richard L. Roudebush)","34,952","33,928",97.07%,"1,024",2.93%,"29,676","1,436","2,816",771,145,25,83,2.68,5.35,5.00,,
"(3V10) (583BU) Indianapolis, IN - VADOM",466,429,92.06%,37,7.94%,368,22,39,27,10,0,0,,1.84,,,
"(3V10) (583GA) Terre Haute, IN","1,033","1,030",99.71%,3,0.29%,994,18,18,3,0,0,0,0.01,5.31,0.00,,
"(3V10) (583GB) Bloomington, IN","1,154","1,151",99.74%,3,0.26%,"1,093",27,31,2,1,0,0,0.73,2.49,2.04,,
"(3V10) (583GC) Martinsville, IN",623,623,100.00%,0,0.00%,596,18,9,0,0,0,0,1.63,0.85,3.33,,
"(3V10) (583GD) Indianapolis West, IN","1,596","1,555",97.43%,41,2.57%,"1,401",79,75,30,6,0,5,1.22,9.66,7.79,,
"(3V10) (583GE) West Lafayette, IN",912,896,98.25%,16,1.75%,818,48,30,16,0,0,0,1.82,3.24,4.81,,
"(3V10) (583GF) Wakeman, IN",988,920,93.12%,68,6.88%,822,24,74,68,0,0,0,9.15,6.09,2.26,,
"(3V10) (583GG) Shelbyville, IN",461,433,93.93%,28,6.07%,376,25,32,19,7,2,0,2.66,7.06,21.28,,
"(3V10) (583QA) Monroe County, IN",326,314,96.32%,12,3.68%,301,3,10,9,3,0,0,,,1.10,,
"(3V10) (583QB) Indianapolis Meridian Street, IN",13,13,100.00%,0,0.00%,13,0,0,0,0,0,0,0.00,,,,
"(3V10) (583QC) Vigo County, IN",306,282,92.16%,24,7.84%,251,17,14,23,1,0,0,,,3.16,,
"(3V10) (583QD) Indianapolis YMCA, IN",758,745,98.28%,13,1.72%,598,85,62,12,1,0,0,,3.89,,,
"(3V10) (583QE) Cold Spring Road, IN",537,537,100.00%,0,0.00%,536,1,0,0,0,0,0,,,,,
(3V10) (610) Northern Indiana HCS,"28,452","27,008",94.92%,"1,444",5.08%,"23,747","1,628","1,633",716,264,205,259,3.53,15.53,4.78,,
"(3V10) (610) Marion, IN","7,136","6,842",95.88%,294,4.12%,"6,118",363,361,165,72,26,31,3.51,11.31,3.41,,
"(3V10) (610A4) Fort Wayne, IN","10,542","9,814",93.09%,728,6.91%,"8,415",662,737,359,128,85,156,4.36,17.27,0.07,,
"(3V10) (610BU) Marion, IN - VADOM",29,29,100.00%,0,0.00%,29,0,0,0,0,0,0,,,,,
"(3V10) (610BY) St. Joseph County, IN","6,042","5,791",95.85%,251,4.15%,"5,208",337,246,93,26,78,54,2.40,16.30,3.52,,
"(3V10) (610GB) Muncie, IN","1,361","1,334",98.02%,27,1.98%,"1,180",65,89,20,5,0,2,4.66,3.95,4.56,,
"(3V10) (610GC) Goshen, IN",888,883,99.44%,5,0.56%,775,63,45,2,1,2,0,4.10,0.11,0.68,,
"(3V10) (610GD) Peru, IN",867,854,98.50%,13,1.50%,762,43,49,11,2,0,0,1.89,6.08,4.23,,
"(3V10) (610QA) Fort Wayne East State Boulevard, IN","1,547","1,421",91.86%,126,8.14%,"1,223",92,106,66,30,14,16,,8.62,7.15,,
"(3V10) (610QB) Columbia Place, IN",40,40,100.00%,0,0.00%,37,3,0,0,0,0,0,,,,,
"(3V10) (655) Saginaw, MI HCS","24,025","23,063",96.00%,962,4.00%,"20,993","1,009","1,061",429,176,152,205,1.80,14.43,2.79,,
"(3V10) (655) Saginaw, MI (Aleda E. Lutz)","13,545","12,799",94.49%,746,5.51%,"11,697",540,562,273,138,138,197,1.77,16.62,1.00,,
"(3V10) (655GA) Gaylord, MI","1,267","1,249",98.58%,18,1.42%,"1,177",34,38,12,3,1,2,1.13,10.82,1.66,,
"(3V10) (655GB) Traverse City, MI (Colonel Demas T. Craw)","2,150","2,060",95.81%,90,4.19%,"1,837",90,133,71,14,4,1,1.46,8.73,4.13,,
"(3V10) (655GC) Oscoda, MI",426,415,97.42%,11,2.58%,349,33,33,6,5,0,0,3.20,14.68,3.05,,
"(3V10) (655GD) Alpena, MI
(Lieutenant Colonel Clement C. Van Wagoner)","1,078","1,067",98.98%,11,1.02%,979,50,38,7,4,0,0,1.54,3.19,3.12,,
"(3V10) (655GE) Clare, MI","1,202","1,172",97.50%,30,2.50%,"1,046",76,50,18,7,3,2,2.62,4.65,5.44,,
"(3V10) (655GF) Bad Axe, MI",746,743,99.60%,3,0.40%,699,23,21,1,2,0,0,0.86,1.76,2.23,,
"(3V10) (655GG) Cadillac, MI","1,128","1,112",98.58%,16,1.42%,976,71,65,8,2,5,1,1.25,7.87,3.76,,
"(3V10) (655GH) Cheboygan County, MI",364,357,98.08%,7,1.92%,310,10,37,6,1,0,0,3.41,7.38,2.42,,
"(3V10) (655GI) Grayling, MI",401,380,94.76%,21,5.24%,310,28,42,19,0,1,1,7.36,7.83,7.88,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(3V10) (655QA) Saginaw Barnard Road, MI","1,718","1,709",99.48%,9,0.52%,"1,613",54,42,8,0,0,1,,0.46,1.84,,
"(3V12) (550) Danville, IL HCS","19,031","18,699",98.26%,332,1.74%,"17,250",805,644,145,69,35,83,1.59,7.13,1.87,,
"(3V12) (550) Danville, IL","8,442","8,329",98.66%,113,1.34%,"7,722",339,268,52,31,7,23,1.38,4.71,0.42,,
"(3V12) (550BY) Peoria, IL (Bob
Michel)","4,890","4,742",96.97%,148,3.03%,"4,311",240,191,52,24,19,53,2.12,11.70,1.11,,
"(3V12) (550GA) Decatur, IL","2,248","2,224",98.93%,24,1.07%,"2,094",71,59,9,6,4,5,0.73,6.15,3.55,,
"(3V12) (550GD) Springfield, IL","1,933","1,913",98.97%,20,1.03%,"1,738",100,75,15,4,0,1,2.14,3.36,2.32,,
"(3V12) (550GF) Mattoon, IL",549,547,99.64%,2,0.36%,520,20,7,1,0,1,0,1.29,4.37,3.03,,
"(3V12) (550GG) Bloomington, IL",969,944,97.42%,25,2.58%,865,35,44,16,4,4,1,2.14,6.86,6.73,,
"(3V12) (537) Chicago, IL HCS","37,991","35,370",93.10%,"2,621",6.90%,"31,822","1,525","2,023","1,223",517,324,557,7.45,9.64,1.88,,
"(3V12) (537) Chicago, IL (Jesse Brown)","28,672","26,596",92.76%,"2,076",7.24%,"23,666","1,196","1,734","1,030",417,242,387,10.29,9.30,1.85,,
"(3V12) (537BY) Crown Point, IN (Adam Benjamin Jr.)","7,470","6,967",93.27%,503,6.73%,"6,475",263,229,165,91,79,168,7.19,10.79,2.07,,
"(3V12) (537GA) Chicago Heights, IL",475,471,99.16%,4,0.84%,435,22,14,3,1,0,0,2.85,0.00,2.27,,
"(3V12) (537GD) Lakeside, IL",857,828,96.62%,29,3.38%,770,26,32,20,6,2,1,1.84,0.00,0.00,,
"(3V12) (537HA) Auburn Gresham, IL",517,508,98.26%,9,1.74%,476,18,14,5,2,1,1,5.28,0.00,1.27,,
"(3V12) (556) North Chicago, IL HCS","25,803","25,199",97.66%,604,2.34%,"22,909","1,140","1,150",392,106,40,66,4.36,3.89,2.91,,
"(3V12) (556) North Chicago, IL (Captain James A. Lovell)","23,822","23,245",97.58%,577,2.42%,"21,079","1,076","1,090",371,105,39,62,5.32,3.92,2.54,,
"(3V12) (556GA) Evanston, IL",367,358,97.55%,9,2.45%,331,10,17,6,1,0,2,4.64,1.35,7.41,,
"(3V12) (556GC) McHenry, IL","1,085","1,074",98.99%,11,1.01%,"1,004",42,28,9,0,0,2,1.88,2.83,3.87,,
"(3V12) (556GD) Kenosha, WI",529,522,98.68%,7,1.32%,495,12,15,6,0,1,0,3.95,2.06,3.67,,
"(3V12) (578) Hines, IL HCS","46,680","45,110",96.64%,"1,570",3.36%,"42,146","1,437","1,527",773,283,137,377,6.36,4.82,3.99,,
"(3V12) (578) Hines, IL (Edward Hines Junior)","36,712","35,560",96.86%,"1,152",3.14%,"33,247","1,085","1,228",607,212,101,232,3.97,4.34,0.87,,
"(3V12) (578GA) Joliet, IL","3,198","2,958",92.50%,240,7.50%,"2,634",175,149,94,44,20,82,6.72,13.98,4.22,,
"(3V12) (578GC) Kankakee County, IL","1,295","1,264",97.61%,31,2.39%,"1,223",23,18,11,8,1,11,6.68,3.04,1.38,,
"(3V12) (578GD) Aurora, IL","1,644","1,576",95.86%,68,4.14%,"1,525",32,19,10,7,8,43,24.08,2.09,38.78,,
"(3V12) (578GE) Hoffman Estates, IL","1,319","1,309",99.24%,10,0.76%,"1,238",42,29,9,1,0,0,0.88,2.26,0.91,,
"(3V12) (578GF) LaSalle, IL","1,343","1,290",96.05%,53,3.95%,"1,174",50,66,36,6,4,7,6.53,2.63,0.67,,
"(3V12) (578GG) Oak Lawn, IL","1,169","1,153",98.63%,16,1.37%,"1,105",30,18,6,5,3,2,1.65,21.00,4.89,,
"(3V12) (585) Iron Mountain, MI HCS","15,753","15,228",96.67%,525,3.33%,"14,060",574,594,313,136,38,38,0.97,12.92,2.44,,
"(3V12) (585) Iron Mountain, MI (Oscar G. Johnson)","8,758","8,319",94.99%,439,5.01%,"7,525",367,427,251,120,32,36,1.34,13.92,1.71,,
"(3V12) (585GA) Hancock, MI",993,988,99.50%,5,0.50%,966,12,10,3,1,1,0,0.39,12.82,1.07,,
"(3V12) (585GB) Rhinelander, WI","1,496","1,472",98.40%,24,1.60%,"1,358",67,47,20,4,0,0,0.97,3.85,5.02,,
"(3V12) (585GC) Menominee, MI",772,766,99.22%,6,0.78%,720,31,15,4,0,2,0,0.81,19.92,0.96,,
"(3V12) (585GD) Ironwood, MI",602,597,99.17%,5,0.83%,576,9,12,5,0,0,0,0.67,18.50,0.68,,
"(3V12) (585GF) Manistique, MI",484,481,99.38%,3,0.62%,468,7,6,0,2,1,0,0.37,2.38,0.97,,
