facility,,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(2V08) (672QA) Comerio, PR",,132,,132,,100.00%,,0,,0.00%,,108,,22,,2,,0,,0,,0,,0,,3.42,,5.5,,,,,
"(2V08) (672QB) Utuado, PR",,78,,78,,100.00%,,0,,0.00%,,52,,11,,15,,0,,0,,0,,0,,6.21,,0,,,,,
"(2V08) (672QC) Vieques, PR",,59,,59,,100.00%,,0,,0.00%,,56,,2,,1,,0,,0,,0,,0,,1.51,,0,,,,,
"(2V08) (673) Tampa, FL HCS",,"73,892",,"70,398",,95.27%,,"3,494",,4.73%,,"60,825",,"4,408",,"5,165",,"2,736",,449,,161,,148,,3.93,,7.68,,3.55,,,
"(2V08) (673) Tampa, FL (James A. Haley)",,"29,196",,"27,646",,94.69%,,"1,550",,5.31%,,"23,429",,"1,759",,"2,458",,"1,323",,159,,35,,33,,2.54,,7.89,,1,,,
"(2V08) (673BV) Tampa, FL - VADOM",,13,,13,,100.00%,,0,,0.00%,,13,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(2V08) (673BZ) New Port Richey, FL",,"6,201",,"5,952",,95.98%,,249,,4.02%,,"5,244",,406,,302,,179,,58,,7,,5,,2.77,,6.2,,4.4,,,
"(2V08) (673GB) Lakeland, FL",,"2,297",,"2,247",,97.82%,,50,,2.18%,,"1,994",,140,,113,,44,,5,,0,,1,,3.37,,4,,0,,,
"(2V08) (673GC) Brooksville, FL",,"2,783",,"2,702",,97.09%,,81,,2.91%,,"2,281",,198,,223,,76,,3,,0,,2,,4.58,,4.82,,5.03,,,
"(2V08) (673GF) Zephyrhills, FL",,640,,617,,96.41%,,23,,3.59%,,532,,36,,49,,23,,0,,0,,0,,4.79,,2.93,,,,,
"(2V08) (673GG) South Hillsborough, FL",,"3,972",,"3,687",,92.82%,,285,,7.18%,,"3,042",,320,,325,,238,,26,,8,,13,,6.96,,5.99,,9.42,,,
"(2V08) (673GH) Lecanto, FL",,"1,967",,"1,952",,99.24%,,15,,0.76%,,"1,880",,37,,35,,14,,1,,0,,0,,0.95,,4.56,,1.34,,,
"(2V08) (673QA) Forty Sixth Street North, FL",,"1,721",,"1,704",,99.01%,,17,,0.99%,,"1,344",,155,,205,,17,,0,,0,,0,,,,3.9,,10.53,,,
"(2V08) (673QB) Forty Sixth Street South, FL",,"9,605",,"9,324",,97.07%,,281,,2.93%,,"8,412",,446,,466,,164,,49,,34,,34,,,,6.73,,2.2,,,
"(2V08) (673QC) West Lakeland, FL",,"1,890",,"1,775",,93.92%,,115,,6.08%,,"1,468",,124,,183,,94,,18,,1,,2,,,,5.1,,6.88,,,
"(2V08) (673QD) Deer Park, FL",,512,,429,,83.79%,,83,,16.21%,,344,,28,,57,,36,,21,,9,,17,,,,17.79,,,,,
"(2V08) (673QE) Highway Nineteen, FL",,596,,528,,88.59%,,68,,11.41%,,463,,44,,21,,16,,9,,32,,11,,,,13.57,,,,,
"(2V08) (673QF) Winners Circle, FL",,786,,786,,100.00%,,0,,0.00%,,786,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(2V08) (673QG) Little Road, FL",,600,,592,,98.67%,,8,,1.33%,,503,,57,,32,,7,,0,,0,,1,,,,,,4.14,,,
"(2V08) (673QH) Bruce B. Downs Boulevard, FL",,"3,235",,"3,092",,95.58%,,143,,4.42%,,"2,781",,144,,167,,128,,13,,1,,1,,,,6.38,,,,,
"(2V08) (673QI) Medical View Lane, FL",,348,,343,,98.56%,,5,,1.44%,,306,,24,,13,,4,,0,,1,,0,,0,,3.19,,2.99,,,
"(2V08) (673QJ) Hidden River, FL",,"7,530",,"7,009",,93.08%,,521,,6.92%,,"6,003",,490,,516,,373,,87,,33,,28,,5.16,,12.72,,2.45,,,
"(2V08) (675) Orlando, FL HCS",,"84,326",,"80,598",,95.58%,,"3,728",,4.42%,,"71,440",,"4,438",,"4,720",,"2,636",,778,,195,,119,,2.13,,7.23,,4.21,,,
"(2V08) (675) Orlando, FL",,"37,648",,"35,112",,93.26%,,"2,536",,6.74%,,"30,833",,"1,937",,"2,342",,"1,766",,574,,128,,68,,3.49,,8.08,,5.73,,,
"(2V08) (675BU) Orlando-Lake Nona, FL - VADOM",,5,,5,,100.00%,,0,,0.00%,,5,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(2V08) (675BV) Lake Baldwin, FL - VADOM",,64,,64,,100.00%,,0,,0.00%,,64,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(2V08) (675GA) Viera, FL",,"16,368",,"15,892",,97.09%,,476,,2.91%,,"13,908",,957,,"1,027",,369,,85,,12,,10,,1.32,,6.22,,3.87,,,
"(2V08) (675GB) Daytona Beach, FL (William V. Chappell, Jr.)",,"9,028",,"8,831",,97.82%,,197,,2.18%,,"8,044",,438,,349,,109,,23,,42,,23,,2.17,,6.17,,1.63,,,
"(2V08) (675GC) Kissimmee, FL",,"1,480",,"1,460",,98.65%,,20,,1.35%,,"1,257",,125,,78,,11,,8,,0,,1,,2.48,,0,,6.06,,,
"(2V08) (675GD) Deltona, FL",,"1,234",,"1,223",,99.11%,,11,,0.89%,,"1,149",,49,,25,,7,,2,,0,,2,,1.5,,1.39,,4.2,,,
"(2V08) (675GE) Tavares, FL",,"1,829",,"1,818",,99.40%,,11,,0.60%,,"1,612",,118,,88,,9,,2,,0,,0,,2.86,,2.92,,3.05,,,
"(2V08) (675GF) Clermont, FL",,"1,105",,"1,086",,98.28%,,19,,1.72%,,998,,65,,23,,18,,1,,0,,0,,2.07,,1.19,,5.69,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(2V08) (675GG) Lake Baldwin, FL",,"11,481",,"11,177",,97.35%,,304,,2.65%,,"9,903",,605,,669,,228,,57,,9,,10,,1.73,,6.08,,3.6,,,
"(2V08) (675QB) Port Orange, FL",,4,,4,,100.00%,,0,,0.00%,,3,,0,,1,,0,,0,,0,,0,,,,,,,,,
"(2V08) (675QC) Westside Pavilion, FL",,"2,374",,"2,296",,96.71%,,78,,3.29%,,"2,166",,63,,67,,55,,16,,3,,4,,,,,,3.72,,,
"(2V08) (675QD) Crossroads, FL",,"1,706",,"1,630",,95.55%,,76,,4.45%,,"1,498",,81,,51,,64,,10,,1,,1,,,,15.05,,3.86,,,
"(2V09) (596) Lexington, KY HCS",,"26,054",,"24,956",,95.79%,,"1,098",,4.21%,,"21,144",,"1,792",,"2,020",,923,,159,,11,,5,,3.36,,7.69,,2.2,,,
"(2V09) (596) Lexington-Leestown, KY (Franklin R. Sousley Campus)",,"10,665",,"10,392",,97.44%,,273,,2.56%,,"8,950",,722,,720,,234,,34,,2,,3,,4.05,,5.6,,2.14,,,
"(2V09) (596A4) Lexington-Cooper, KY (Troy Bowling Campus)",,"10,904",,"10,152",,93.10%,,752,,6.90%,,"8,276",,800,,"1,076",,644,,99,,7,,2,,,,8.92,,1.54,,,
"(2V09) (596BU) Lexington-Leestown, KY - VADOM",,23,,23,,100.00%,,0,,0.00%,,23,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(2V09) (596GA) Somerset, KY",,"2,130",,"2,072",,97.28%,,58,,2.72%,,"1,788",,159,,125,,35,,22,,1,,0,,3.03,,5.91,,3.61,,,
"(2V09) (596GB) Morehead, KY",,572,,571,,99.83%,,1,,0.17%,,555,,8,,8,,0,,1,,0,,0,,0.78,,1.76,,2.77,,,
"(2V09) (596GC) Hazard, KY",,584,,583,,99.83%,,1,,0.17%,,548,,16,,19,,1,,0,,0,,0,,2.06,,1.14,,0.02,,,
"(2V09) (596GD) Berea, KY",,"1,176",,"1,163",,98.89%,,13,,1.11%,,"1,004",,87,,72,,9,,3,,1,,0,,3.29,,3.59,,2.84,,,
"(2V09) (603) Louisville, KY HCS",,"32,794",,"32,197",,98.18%,,597,,1.82%,,"28,747",,"1,747",,"1,703",,465,,82,,28,,22,,2.35,,4.57,,3.6,,,
"(2V09) (603) Louisville, KY (Robley Rex)",,"17,417",,"17,030",,97.78%,,387,,2.22%,,"14,810",,"1,041",,"1,179",,298,,51,,23,,15,,0.06,,4.66,,5.38,,,
"(2V09) (603GA) Fort Knox, KY",,"1,824",,"1,805",,98.96%,,19,,1.04%,,"1,655",,91,,59,,16,,1,,2,,0,,1.97,,4.3,,2.92,,,
"(2V09) (603GB) New Albany, IN",,"2,400",,"2,380",,99.17%,,20,,0.83%,,"2,227",,99,,54,,18,,2,,0,,0,,1.55,,0.23,,2.97,,,
"(2V09) (603GC) Shively, KY",,"2,553",,"2,518",,98.63%,,35,,1.37%,,"2,286",,116,,116,,27,,4,,2,,2,,3.06,,7.1,,4.3,,,
"(2V09) (603GD) Stonybrook, KY",,"2,220",,"2,181",,98.24%,,39,,1.76%,,"2,051",,87,,43,,33,,6,,0,,0,,1.88,,2.1,,1.6,,,
"(2V09) (603GE) Newburg, KY",,"2,802",,"2,743",,97.89%,,59,,2.11%,,"2,403",,203,,137,,45,,9,,1,,4,,3.4,,6.44,,6.95,,,
"(2V09) (603GF) Grayson County, KY",,"1,937",,"1,916",,98.92%,,21,,1.08%,,"1,795",,59,,62,,14,,7,,0,,0,,1.56,,2.75,,4.58,,,
"(2V09) (603GG) Scott County, IN",,858,,851,,99.18%,,7,,0.82%,,785,,31,,35,,5,,1,,0,,1,,2.38,,2.5,,1.9,,,
"(2V09) (603GH) Carrollton, KY",,740,,730,,98.65%,,10,,1.35%,,692,,20,,18,,9,,1,,0,,0,,1.27,,2.26,,1.29,,,
(2V09) (603MA) IDES Fort Knox,,43,,43,,100.00%,,0,,0.00%,,43,,0,,0,,0,,0,,0,,0,,,,0,,0,,,
"(2V09) (614) Memphis, TN HCS",,"35,633",,"34,348",,96.39%,,"1,285",,3.61%,,"30,975",,"1,643",,"1,730",,842,,231,,97,,115,,2.11,,7.31,,4.2,,,
"(2V09) (614) Memphis, TN",,"23,596",,"22,560",,95.61%,,"1,036",,4.39%,,"20,239",,"1,147",,"1,174",,668,,181,,93,,94,,1.57,,7.06,,3.42,,,
"(2V09) (614GA) Tupelo, MS",,"1,136",,"1,109",,97.62%,,27,,2.38%,,998,,57,,54,,12,,1,,3,,11,,2.94,,7.12,,11.19,,,
"(2V09) (614GB) Jonesboro, AR",,687,,677,,98.54%,,10,,1.46%,,589,,39,,49,,6,,3,,0,,1,,3.46,,0.7,,5.64,,,
"(2V09) (614GC) Holly Springs, MS",,322,,320,,99.38%,,2,,0.62%,,298,,14,,8,,2,,0,,0,,0,,1.76,,1.62,,1.92,,,
"(2V09) (614GD) Savannah, TN",,415,,405,,97.59%,,10,,2.41%,,393,,5,,7,,6,,4,,0,,0,,2.16,,0,,2.84,,,
"(2V09) (614GE) Covington, TN",,"1,694",,"1,671",,98.64%,,23,,1.36%,,"1,592",,53,,26,,18,,4,,0,,1,,1.54,,0.34,,3.52,,,
"(2V09) (614GF) Nonconnah Boulevard, TN",,"5,403",,"5,260",,97.35%,,143,,2.65%,,"4,661",,267,,332,,105,,32,,1,,5,,2.37,,9.62,,4.42,,,
"(2V09) (614GG) Jackson, TN",,"1,528",,"1,507",,98.63%,,21,,1.37%,,"1,415",,41,,51,,14,,4,,0,,3,,1.13,,9.07,,1.28,,,
"(2V09) (614GI) Dyersburg, TN",,427,,416,,97.42%,,11,,2.58%,,383,,17,,16,,9,,2,,0,,0,,3.05,,0,,3.95,,,
"(2V09) (614GN) Helena, AR",,252,,250,,99.21%,,2,,0.79%,,234,,3,,13,,2,,0,,0,,0,,1.96,,0,,3.26,,,
"(2V09) (614QA) Union Avenue, TN",,173,,173,,100.00%,,0,,0.00%,,173,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(2V09) (621) Mountain Home, TN HCS",,"36,539",,"35,538",,97.26%,,"1,001",,2.74%,,"31,574",,"2,131",,"1,833",,752,,181,,45,,23,,3.89,,5.45,,2.07,,,
"(2V09) (621) Mountain Home, TN (James H. Quillen)",,"23,747",,"22,970",,96.73%,,777,,3.27%,,"20,469",,"1,317",,"1,184",,570,,143,,43,,21,,4.62,,5.61,,1.1,,,
"(2V09) (621BU) Mountain Home, TN - VADOM",,85,,85,,100.00%,,0,,0.00%,,77,,7,,1,,0,,0,,0,,0,,0.94,,,,,,,
"(2V09) (621BY) Knoxville, TN (William C. Tallent)",,"5,624",,"5,505",,97.88%,,119,,2.12%,,"4,909",,287,,309,,101,,16,,0,,2,,4.02,,3.77,,2.7,,,
"(2V09) (621GA) Rogersville, TN",,524,,523,,99.81%,,1,,0.19%,,478,,34,,11,,1,,0,,0,,0,,2.56,,0,,0,,,
"(2V09) (621GC) Norton, VA",,782,,782,,100.00%,,0,,0.00%,,697,,68,,17,,0,,0,,0,,0,,2.38,,0,,0.64,,,
"(2V09) (621GG) Morristown, TN",,"1,145",,"1,141",,99.65%,,4,,0.35%,,"1,073",,44,,24,,3,,1,,0,,0,,1.46,,6.62,,1.51,,,
"(2V09) (621GI) Sevierville, TN (Dannie A. Carr)",,"1,737",,"1,710",,98.45%,,27,,1.55%,,"1,386",,177,,147,,12,,13,,2,,0,,4.9,,1.07,,4.79,,,
"(2V09) (621GJ) Bristol, VA",,"1,214",,"1,192",,98.19%,,22,,1.81%,,"1,094",,55,,43,,17,,5,,0,,0,,3.2,,0,,3.65,,,
"(2V09) (621GK) Campbell County, TN",,556,,550,,98.92%,,6,,1.08%,,493,,34,,23,,5,,1,,0,,0,,3.12,,1.09,,3.39,,,
"(2V09) (621QA) Jonesville, VA",,100,,100,,100.00%,,0,,0.00%,,85,,11,,4,,0,,0,,0,,0,,2.48,,,,,,,
"(2V09) (621QB) Marion, VA",,120,,120,,100.00%,,0,,0.00%,,116,,3,,1,,0,,0,,0,,0,,1.27,,,,,,,
"(2V09) (621QC) Vansant, VA",,62,,61,,98.39%,,1,,1.61%,,41,,4,,16,,1,,0,,0,,0,,8.08,,,,,,,
"(2V09) (621QD) Knox County, TN",,671,,627,,93.44%,,44,,6.56%,,507,,75,,45,,42,,2,,0,,0,,,,5.87,,5.8,,,
"(2V09) (621QE) Downtown West, TN",,172,,172,,100.00%,,0,,0.00%,,149,,15,,8,,0,,0,,0,,0,,,,2.78,,,,,
(2V09) (626) Middle Tennessee HCS,,"65,326",,"61,334",,93.89%,,"3,992",,6.11%,,"54,260",,"3,360",,"3,714",,"2,453",,880,,331,,328,,6.03,,8.86,,5.02,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(2V09) (626) Nashville, TN",,"23,602",,"21,901",,92.79%,,"1,701",,7.21%,,"19,264",,"1,250",,"1,387",,"1,047",,378,,161,,115,,7.37,,8.69,,3.83,,,
"(2V09) (626A4) Murfreesboro, TN (Alvin C. York)",,"17,184",,"16,384",,95.34%,,800,,4.66%,,"14,829",,712,,843,,523,,190,,56,,31,,3.42,,8.47,,2.87,,,
"(2V09) (626GA) Dover, TN",,426,,425,,99.77%,,1,,0.23%,,392,,20,,13,,0,,1,,0,,0,,2.83,,,,2.49,,,
"(2V09) (626GC) Bowling Green, KY",,"1,243",,"1,179",,94.85%,,64,,5.15%,,987,,87,,105,,43,,18,,1,,2,,4.84,,6.82,,11.04,,,
"(2V09) (626GE) Clarksville, TN",,"4,846",,"4,436",,91.54%,,410,,8.46%,,"3,787",,308,,341,,231,,75,,33,,71,,5.45,,15.1,,6.41,,,
"(2V09) (626GF) Chattanooga, TN",,"5,345",,"4,981",,93.19%,,364,,6.81%,,"4,509",,232,,240,,202,,102,,29,,31,,7.27,,5.84,,7.66,,,
"(2V09) (626GG) Tullahoma, TN",,251,,247,,98.41%,,4,,1.59%,,228,,7,,12,,3,,1,,0,,0,,0.39,,5.91,,5.98,,,
"(2V09) (626GH) Cookeville, TN",,"1,449",,"1,357",,93.65%,,92,,6.35%,,"1,148",,98,,111,,58,,14,,5,,15,,8.38,,4.48,,10.08,,,
"(2V09) (626GJ) Hopkinsville, KY",,"1,391",,"1,315",,94.54%,,76,,5.46%,,"1,111",,94,,110,,49,,9,,8,,10,,9.71,,8.52,,6.65,,,
"(2V09) (626GK) McMinnville, TN",,726,,722,,99.45%,,4,,0.55%,,654,,52,,16,,3,,0,,0,,1,,3.23,,3.95,,2.84,,,
"(2V09) (626GL) Roane County, TN",,483,,461,,95.45%,,22,,4.55%,,378,,61,,22,,16,,4,,1,,1,,1.55,,12.45,,11.43,,,
"(2V09) (626GM) Maury County, TN",,"1,066",,"1,031",,96.72%,,35,,3.28%,,733,,138,,160,,31,,1,,2,,1,,8.59,,5.18,,5.98,,,
"(2V09) (626GN) Athens, TN",,436,,403,,92.43%,,33,,7.57%,,357,,24,,22,,21,,8,,3,,1,,7.09,,3,,9.44,,,
"(2V09) (626GO) International Plaza, TN",,"1,046",,977,,93.40%,,69,,6.60%,,880,,41,,56,,53,,7,,3,,6,,7.59,,8.57,,1.51,,,
"(2V09) (626GP) Gallatin, TN",,876,,855,,97.60%,,21,,2.40%,,721,,82,,52,,12,,7,,0,,2,,4.23,,3.87,,0,,,
(2V09) (626MA) IDES Fort Campbell,,440,,440,,100.00%,,0,,0.00%,,440,,0,,0,,0,,0,,0,,0,,,,0,,0,,,
"(2V09) (626QA) Albion Street, TN",,951,,861,,90.54%,,90,,9.46%,,777,,34,,50,,60,,22,,2,,6,,11.49,,,,0.04,,,
"(2V09) (626QB) Charlotte Avenue, TN",,"1,550",,"1,503",,96.97%,,47,,3.03%,,"1,374",,50,,79,,35,,10,,2,,0,,3.19,,10.31,,2.01,,,
"(2V09) (626QC) Pointe Centre, TN",,"1,592",,"1,441",,90.52%,,151,,9.48%,,"1,293",,64,,84,,58,,33,,25,,35,,,,21.66,,8.16,,,
"(2V09) (626QD) Glenis Drive, TN",,423,,415,,98.11%,,8,,1.89%,,398,,6,,11,,8,,0,,0,,0,,,,,,1.33,,,
"(3V10) (538) Chillicothe, OH HCS",,"15,636",,"15,088",,96.50%,,548,,3.50%,,"13,286",,894,,908,,363,,102,,40,,43,,1.73,,7.94,,3.07,,,
"(3V10) (538) Chillicothe, OH",,"10,000",,"9,578",,95.78%,,422,,4.22%,,"8,209",,646,,723,,291,,78,,25,,28,,1.99,,8.52,,2.86,,,
"(3V10) (538GA) Athens, OH",,958,,952,,99.37%,,6,,0.63%,,877,,40,,35,,4,,1,,0,,1,,1.35,,6.37,,1.18,,,
"(3V10) (538GB) Portsmouth, OH",,"1,309",,"1,293",,98.78%,,16,,1.22%,,"1,218",,46,,29,,10,,2,,2,,2,,1.04,,4.54,,1.11,,,
"(3V10) (538GC) Marietta, OH",,808,,768,,95.05%,,40,,4.95%,,686,,43,,39,,21,,10,,4,,5,,2.1,,11.38,,3.39,,,
"(3V10) (538GD) Lancaster, OH",,"1,241",,"1,207",,97.26%,,34,,2.74%,,"1,140",,33,,34,,17,,4,,8,,5,,1.3,,4.18,,3.91,,,
"(3V10) (538GE) Cambridge, OH",,852,,835,,98.00%,,17,,2.00%,,751,,56,,28,,13,,4,,0,,0,,2.12,,3.39,,3.05,,,
"(3V10) (538GF) Wilmington, OH",,468,,455,,97.22%,,13,,2.78%,,405,,30,,20,,7,,3,,1,,2,,2.18,,3.5,,10.78,,,
"(3V10) (539) Cincinnati, OH HCS",,"34,157",,"32,101",,93.98%,,"2,056",,6.02%,,"28,462",,"1,686",,"1,953",,"1,346",,405,,104,,201,,2.72,,10,,2.78,,,
"(3V10) (539) Cincinnati, OH",,"20,924",,"19,417",,92.80%,,"1,507",,7.20%,,"17,037",,"1,080",,"1,300",,963,,345,,86,,113,,2.42,,11.64,,1.85,,,
(3V10) (5399AB) Fort Thomas CLC,,5,,5,,100.00%,,0,,0.00%,,5,,0,,0,,0,,0,,0,,0,,,,,,0,,,
"(3V10) (539A4) Fort Thomas, KY",,966,,924,,95.65%,,42,,4.35%,,803,,44,,77,,30,,9,,2,,1,,,,8.33,,1.67,,,
"(3V10) (539BV) Fort Thomas, KY - PRRTP",,18,,5,,27.78%,,13,,72.22%,,5,,0,,0,,10,,3,,0,,0,,,,,,38.78,,,
"(3V10) (539GA) Bellevue, KY",,"1,221",,"1,169",,95.74%,,52,,4.26%,,"1,066",,50,,53,,23,,2,,4,,23,,4.99,,3.16,,4.42,,,
"(3V10) (539GB) Clermont County, OH",,"2,696",,"2,623",,97.29%,,73,,2.71%,,"2,362",,153,,108,,57,,10,,2,,4,,2.3,,6.95,,3.1,,,
"(3V10) (539GC) Dearborn, IN",,"1,700",,"1,681",,98.88%,,19,,1.12%,,"1,557",,63,,61,,17,,2,,0,,0,,1.6,,3.46,,2.84,,,
"(3V10) (539GD) Florence, KY",,"2,112",,"2,058",,97.44%,,54,,2.56%,,"1,892",,88,,78,,47,,6,,0,,1,,2.53,,4.88,,2.42,,,
"(3V10) (539GE) Hamilton, OH",,"1,848",,"1,781",,96.37%,,67,,3.63%,,"1,565",,88,,128,,54,,8,,2,,3,,3.38,,7.06,,5.44,,,
"(3V10) (539GF) Georgetown, OH",,910,,832,,91.43%,,78,,8.57%,,748,,48,,36,,33,,3,,3,,39,,4.01,,5.77,,3.96,,,
"(3V10) (539QB) Highland Avenue, OH",,"1,355",,"1,237",,91.29%,,118,,8.71%,,"1,097",,54,,86,,85,,12,,4,,17,,,,9.46,,,,,
"(3V10) (539QC) Vine Street, OH",,3,,3,,100.00%,,0,,0.00%,,3,,0,,0,,0,,0,,0,,0,,0,,,,,,,
"(3V10) (539QD) Norwood, OH",,399,,366,,91.73%,,33,,8.27%,,322,,18,,26,,27,,5,,1,,0,,,,8.16,,4.49,,,
"(3V10) (541) Cleveland, OH HCS",,"81,501",,"77,628",,95.25%,,"3,873",,4.75%,,"65,585",,"5,647",,"6,396",,"2,928",,568,,159,,218,,5.14,,7.19,,4.05,,,
"(3V10) (541) Cleveland, OH (Louis Stokes Cleveland)",,"32,195",,"30,513",,94.78%,,"1,682",,5.22%,,"25,240",,"2,249",,"3,024",,"1,322",,237,,56,,67,,7.16,,7.14,,3.32,,,
"(3V10) (541BY) Canton, OH",,"5,729",,"5,501",,96.02%,,228,,3.98%,,"4,795",,365,,341,,175,,25,,14,,14,,4.19,,7.18,,2.5,,,
"(3V10) (541BZ) Youngstown, OH",,"4,975",,"4,868",,97.85%,,107,,2.15%,,"4,252",,313,,303,,83,,14,,5,,5,,3.61,,4.57,,1.99,,,
"(3V10) (541GB) Lorain, OH",,"2,999",,"2,952",,98.43%,,47,,1.57%,,"2,673",,133,,146,,34,,3,,3,,7,,3.53,,5.56,,1.11,,,
"(3V10) (541GC) Sandusky, OH",,"1,738",,"1,627",,93.61%,,111,,6.39%,,"1,366",,150,,111,,59,,30,,5,,17,,9.4,,11.92,,6.92,,,
"(3V10) (541GD) Mansfield, OH (David F. Winder)",,"4,120",,"4,042",,98.11%,,78,,1.89%,,"3,723",,188,,131,,60,,14,,0,,4,,1.49,,3.73,,1.16,,,
"(3V10) (541GE) McCafferty, OH",,504,,490,,97.22%,,14,,2.78%,,420,,31,,39,,12,,1,,0,,1,,4.23,,3.57,,7.02,,,
"(3V10) (541GF) Lake County, OH",,"3,184",,"3,103",,97.46%,,81,,2.54%,,"2,697",,210,,196,,52,,17,,4,,8,,4.71,,3.68,,5.87,,,
"(3V10) (541GG) Akron, OH",,"8,015",,"7,610",,94.95%,,405,,5.05%,,"6,127",,716,,767,,326,,48,,10,,21,,5.44,,8.92,,3.29,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(3V10) (541GH) East Liverpool, OH",,"1,224",,"1,214",,99.18%,,10,,0.82%,,"1,122",,46,,46,,7,,1,,0,,2,,1.73,,4.21,,2.4,,,
"(3V10) (541GI) Warren, OH",,"1,691",,"1,616",,95.56%,,75,,4.44%,,"1,427",,110,,79,,50,,16,,2,,7,,4.15,,10.04,,4.08,,,
"(3V10) (541GJ) New Philadelphia, OH",,"1,707",,"1,661",,97.31%,,46,,2.69%,,"1,444",,105,,112,,39,,4,,0,,3,,2.19,,4.98,,4.58,,,
"(3V10) (541GK) Ravenna, OH",,"1,770",,"1,688",,95.37%,,82,,4.63%,,"1,503",,110,,75,,56,,15,,5,,6,,5.78,,5.27,,2.23,,,
"(3V10) (541GL) Parma, OH",,"10,242",,"9,368",,91.47%,,874,,8.53%,,"7,469",,905,,994,,633,,138,,50,,53,,8.39,,8.95,,9.46,,,
"(3V10) (541GM) Cleveland Superior Avenue, OH",,39,,34,,87.18%,,5,,12.82%,,8,,3,,23,,5,,0,,0,,0,,,,,,,,,
"(3V10) (541QA) Summit County, OH",,9,,9,,100.00%,,0,,0.00%,,9,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(3V10) (541QB) Cleveland Euclid Avenue, OH",,969,,967,,99.79%,,2,,0.21%,,962,,3,,2,,2,,0,,0,,0,,5.61,,0,,,,,
"(3V10) (541QE) Cleveland East Boulevard 3, OH - Mobile",,200,,191,,95.50%,,9,,4.50%,,178,,9,,4,,7,,0,,2,,0,,,,3.96,,,,,
"(3V10) (541QF) Cuyahoga County 4, OH - Mobile",,191,,174,,91.10%,,17,,8.90%,,170,,1,,3,,6,,5,,3,,3,,,,7.92,,,,,
"(3V10) (552) Dayton, OH HCS",,"27,377",,"26,253",,95.89%,,"1,124",,4.11%,,"22,903",,"1,604",,"1,746",,914,,141,,33,,36,,2.31,,6.32,,3.75,,,
"(3V10) (552) Dayton, OH",,"21,847",,"20,942",,95.86%,,905,,4.14%,,"18,210",,"1,305",,"1,427",,737,,118,,26,,24,,1.91,,6.16,,2.74,,,
"(3V10) (552GA) Middletown, OH",,"1,393",,"1,295",,92.96%,,98,,7.04%,,"1,110",,89,,96,,78,,10,,5,,5,,4.87,,10.6,,7.31,,,
